SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,10-Feb,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,25-Nov,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
CATHOLIC UNIVERSITY OF AMERICA,111,5,0,1,117,52,3,5,5,65,6,3,1,0,10,2,0,3,0,5,0,0,0,0,0,1,0,5,33,2,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,20,8,0,1,0,9,2,1,0,0,3,2,0,0,0,2,3,0,0,0,3,5,0,0,0,5,15,0,1,0,16,1,0,0,0,1,36,7,5,4,52,54,1,2,0,57,4,2,0,0,6,3,0,0,0,3,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,11,9,6,197,District of Columbia,88,Virginia,34,Maryland,32,2
CHAPMAN UNIVERSITY,71,5,10,3,89,14,1,3,2,20,3,0,4,1,8,1,0,5,1,7,0,0,0,0,0,5,6,21,30,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,8,28,1,7,5,41,8,0,0,0,8,5,0,0,0,5,1,0,0,0,1,6,0,0,0,6,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,26,2,10,1,39,4,2,1,1,8,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,89,6,22,7,124,California,114,New York,2,Georgia,1,0
CHARLESTON SCHOOL OF LAW,120,4,5,5,134,16,3,2,2,23,18,1,6,1,26,1,0,2,0,3,1,0,0,0,1,8,2,4,23,1,225,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,4,64,3,6,4,77,7,0,0,0,7,3,0,0,0,3,7,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,24,2,5,3,34,18,0,1,0,19,7,1,0,0,8,1,0,0,0,1,17,0,0,0,17,0,0,0,0,0,1,0,2,0,3,1,1,1,0,3,156,8,15,8,187,South Carolina,142,North Carolina,10,Virginia,7,0
CHARLOTTE SCHOOL OF LAW,129,18,2,4,153,61,21,3,20,105,18,0,2,1,21,2,0,4,2,8,0,0,0,0,0,7,4,3,46,3,350,8,6,0,3,17,1,8,0,19,28,0,0,0,0,0,0,0,0,0,0,9,14,0,22,45,23,0,1,0,24,68,1,2,0,71,7,0,1,0,8,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,1,0,0,2,2,1,0,0,3,1,0,0,0,1,62,22,6,4,94,21,0,0,0,21,13,10,0,6,29,1,0,0,0,1,5,0,0,0,5,0,0,0,0,0,2,4,1,17,24,0,0,0,0,0,210,39,11,27,287,North Carolina,191,South Carolina,29,Colorado,6,1
"CHICAGO, UNIVERSITY OF",199,0,0,0,199,8,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,215,13,0,0,0,13,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,15,0,0,1,16,1,0,0,0,1,0,0,0,0,0,5,0,0,0,5,1,0,0,0,1,3,0,0,0,3,11,0,0,0,11,7,0,0,0,7,116,0,0,0,116,0,0,0,0,0,9,0,0,0,9,12,0,0,0,12,13,0,0,0,13,22,0,0,0,22,5,0,0,0,5,0,0,0,0,0,2,1,0,1,4,0,0,0,0,0,207,1,0,1,209,Illinois,62,California,35,New York,34,3
CHICAGO-KENT COLLEGE OF LAW-IIT,158,3,5,2,168,32,3,5,1,41,13,0,3,0,16,1,1,1,2,5,0,0,0,0,0,1,5,1,31,14,282,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,0,6,53,0,7,3,63,19,1,0,0,20,16,0,0,0,16,8,1,0,0,9,7,0,0,0,7,4,0,0,0,4,17,0,0,0,17,0,0,0,0,0,45,3,5,2,55,16,2,0,0,18,8,0,0,0,8,1,0,0,0,1,5,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,204,7,14,5,230,Illinois,200,New York,4,California,3,2
"CINCINNATI, UNIVERSITY OF",81,3,2,7,93,22,0,0,3,25,5,0,1,0,6,0,0,2,0,2,2,0,1,2,5,1,0,1,13,3,149,0,0,0,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,2,20,1,0,0,21,5,0,0,0,5,3,0,0,0,3,6,0,0,0,6,5,0,0,0,5,8,0,0,0,8,4,0,0,0,4,1,0,2,0,3,18,2,3,3,26,27,0,0,0,27,4,0,1,1,6,2,0,0,0,2,4,0,0,0,4,0,0,0,0,0,1,0,0,6,7,0,0,0,2,2,110,3,6,12,131,Ohio,80,Kentucky,9,Illinois,6,1
CITY UNIVERSITY OF NEW YORK,67,0,1,5,73,10,1,0,18,29,3,1,1,2,7,0,0,0,2,2,0,0,0,0,0,0,3,1,20,3,138,0,0,0,1,1,0,0,0,13,13,0,1,0,0,1,0,0,0,0,0,0,1,0,14,15,0,0,0,0,0,11,0,1,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,5,6,0,1,4,11,15,0,0,2,17,32,0,0,16,48,1,0,0,0,1,12,0,0,0,12,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,80,2,2,27,111,New York,87,New Jersey,8,California,2,0
CLEVELAND STATE UNIVERSITY,76,3,2,0,81,31,1,6,3,41,4,1,0,0,5,2,0,4,0,6,0,0,0,0,0,0,1,1,22,2,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,8,31,2,3,2,38,6,0,0,0,6,5,0,0,0,5,2,0,0,0,2,4,0,0,0,4,5,0,0,0,5,2,0,0,0,2,0,1,0,0,1,28,2,4,1,35,21,0,0,0,21,2,0,2,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,113,5,12,3,133,Ohio,116,New York,4,District of Columbia,2,1
"COLORADO, UNIVERSITY OF",123,4,2,8,137,15,1,1,2,19,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,3,12,2,176,5,3,0,7,15,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,7,3,0,8,18,1,0,0,0,1,14,0,2,1,17,4,0,0,0,4,7,0,0,0,7,1,0,0,0,1,5,0,0,0,5,3,0,0,0,3,12,0,0,0,12,1,0,0,0,1,18,0,1,1,20,21,5,0,2,28,23,0,0,0,23,1,0,0,0,1,23,0,0,6,29,0,0,0,0,0,6,0,0,1,7,0,0,0,0,0,140,5,3,11,159,Colorado,125,California,7,District Of Columbia,3,0
COLUMBIA UNIVERSITY,415,0,0,0,415,9,0,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,3,3,437,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29,0,0,0,0,0,2,0,0,0,2,3,0,0,0,3,5,0,0,0,5,3,0,0,0,3,12,0,0,0,12,37,0,0,0,37,271,0,0,0,271,0,0,0,0,0,10,0,0,0,10,21,0,0,0,21,34,0,0,0,34,21,0,0,0,21,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,425,0,0,0,425,New York,291,California,41,District of Columbia,28,13
"CONNECTICUT, UNIVERSITY OF",79,2,6,0,87,33,1,2,3,39,14,1,5,0,20,2,0,5,0,7,0,0,0,0,0,3,5,5,14,7,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,19,0,6,1,26,7,0,0,0,7,4,0,0,0,4,2,0,0,0,2,12,0,0,0,12,1,0,0,0,1,5,0,0,0,5,0,0,0,0,0,36,2,10,1,49,16,0,0,0,16,4,1,1,1,7,2,0,0,0,2,14,0,0,0,14,0,0,0,0,0,4,1,1,0,6,0,0,0,0,0,128,4,18,3,153,Connecticut,102,Massachusetts,20,New York,11,1
CORNELL UNIVERSITY,173,3,0,0,176,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,7,3,193,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,2,0,0,0,2,2,0,0,0,2,3,0,0,0,3,2,0,0,0,2,2,0,0,0,2,9,0,0,0,9,7,0,0,0,7,95,0,0,0,95,0,0,0,0,0,6,0,0,0,6,9,0,0,0,9,11,2,0,0,13,21,1,0,0,22,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,174,3,1,0,178,New York,109,California,15,District Of Columbia,13,2
CREIGHTON UNIVERSITY,69,0,5,0,74,18,0,0,0,18,1,0,1,0,2,1,0,1,1,3,0,0,0,0,0,6,0,3,17,2,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,20,0,3,0,23,7,0,0,0,7,4,0,0,0,4,6,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30,0,2,1,33,10,0,1,0,11,2,0,1,0,3,3,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,7,1,97,Nebraska,62,Iowa,9,Missouri,4,0
"DAYTON, UNIVERSITY OF",93,0,4,0,97,17,1,1,0,19,3,1,0,0,4,0,0,3,0,3,0,0,0,0,0,3,1,0,17,2,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,10,44,0,4,0,48,18,1,0,0,19,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,7,1,3,0,11,18,0,0,0,18,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,113,2,8,0,123,Ohio,72,Illinois,9,Indiana,9,0
"DENVER, UNIVERSITY OF",150,3,17,3,173,23,8,6,15,52,13,0,1,2,16,0,1,1,2,4,0,0,0,0,0,3,3,3,11,2,267,1,1,13,0,15,0,1,0,9,10,0,0,0,0,0,0,0,0,0,0,1,2,13,9,25,5,0,0,0,5,30,1,1,4,36,18,0,1,0,19,3,0,0,0,3,1,0,0,0,1,4,0,1,0,5,7,0,0,0,7,9,0,0,0,9,1,0,0,1,2,32,7,7,6,52,43,3,0,0,46,4,1,1,1,7,3,0,0,0,3,23,0,13,0,36,0,0,0,0,0,3,0,1,10,14,0,0,0,0,0,186,12,25,22,245,Colorado,203,Texas,6,Illinois,5,0
DEPAUL UNIVERSITY,132,8,10,9,159,34,3,8,3,48,9,2,0,0,11,1,0,4,2,7,0,0,0,0,0,1,2,3,51,2,284,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,3,0,0,1,4,46,0,10,3,59,17,0,1,0,18,5,0,0,0,5,5,0,0,0,5,5,0,0,0,5,1,0,0,0,1,10,0,0,0,10,2,1,1,1,5,39,7,8,6,60,18,3,1,1,23,12,2,1,1,16,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,6,0,0,1,7,0,0,0,0,0,176,13,22,14,225,Illinois,191,Michigan,6,Kentucky,4,0
"DETROIT MERCY, UNIVERSITY OF",73,43,1,0,117,28,1,2,0,31,20,0,1,0,21,2,0,1,1,4,0,0,0,0,0,4,1,5,24,4,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,31,19,2,0,52,4,6,0,0,10,4,4,0,0,8,6,0,0,0,6,10,2,0,0,12,3,4,0,0,7,2,1,0,0,3,0,1,0,0,1,30,0,2,0,32,12,5,0,0,17,8,2,0,0,10,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,1,1,5,0,0,0,0,0,123,44,5,1,173,Michigan,105,District Of Columbia,2,Florida,2,48
DISTRICT OF COLUMBIA,21,2,1,2,26,12,3,3,2,20,7,0,0,1,8,2,0,0,2,4,0,0,0,0,0,1,0,1,12,8,80,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,3,2,0,0,1,3,9,0,3,2,14,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,3,15,8,0,0,0,8,7,1,1,0,9,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,42,5,4,7,58,District Of Columbia,27,Virginia,13,Maryland,8,1
DRAKE UNIVERSITY,83,1,2,0,86,20,3,1,1,25,3,0,3,0,6,0,0,3,2,5,0,0,0,0,0,4,1,2,9,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,34,1,1,0,36,11,0,0,0,11,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,26,1,5,3,35,7,1,0,0,8,4,0,0,0,4,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,1,1,3,0,5,0,0,0,0,0,106,4,9,3,122,Iowa,90,Minnesota,7,Missouri,4,2
DREXEL UNIVERSITY,69,1,5,5,80,14,1,2,2,19,4,1,2,0,7,4,1,5,1,11,0,0,0,0,0,1,0,3,16,1,138,0,0,0,4,4,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,4,7,3,0,0,1,4,20,0,5,0,25,3,1,0,0,4,2,0,1,0,3,3,0,0,0,3,2,0,0,0,2,2,0,0,0,2,7,0,0,0,7,0,0,0,0,0,16,2,7,3,28,10,0,0,2,12,6,0,0,2,8,4,0,0,0,4,10,1,0,0,11,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,91,4,14,8,117,Pennsylvania,69,New Jersey,18,Delaware,6,2
DUKE UNIVERSITY,207,9,0,3,219,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,2,241,2,5,0,2,9,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,7,0,2,11,0,0,0,0,0,8,0,0,0,8,4,0,0,0,4,2,1,0,0,3,8,0,0,0,8,10,1,0,0,11,18,0,0,0,18,96,0,0,0,96,0,0,0,0,0,9,4,0,0,13,14,3,0,2,19,3,2,0,0,5,21,0,0,1,22,15,0,0,0,15,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,211,11,0,3,225,New York,50,District of Columbia,34,North Carolina,27,7
DUQUESNE UNIVERSITY,108,3,1,1,113,31,2,2,0,35,15,0,0,0,15,2,0,5,0,7,0,0,0,0,0,4,2,1,23,5,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,47,0,2,1,50,7,0,0,0,7,6,0,1,0,7,2,0,0,0,2,7,0,0,0,7,6,0,0,0,6,3,0,0,0,3,0,0,0,0,0,42,3,5,0,50,14,2,0,0,16,1,0,0,0,1,3,0,0,0,3,12,0,0,0,12,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,156,5,8,1,170,Pennsylvania,161,North Carolina,2,Maryland,1,0
ELON UNIVERSITY,40,13,0,2,55,18,1,2,1,22,5,0,0,1,6,0,2,0,1,3,0,0,0,0,0,3,0,2,27,4,122,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,1,29,2,1,0,32,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,12,12,0,2,26,9,0,0,0,9,4,1,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,1,3,6,0,0,0,0,0,63,16,2,5,86,North Carolina,72,Virginia,4,South Carolina,3,0
EMORY UNIVERSITY,244,0,7,0,251,29,1,1,1,32,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,1,3,0,292,62,0,5,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,5,0,67,0,0,0,0,0,48,0,0,0,48,14,0,0,0,14,8,0,0,0,8,5,0,0,0,5,2,0,0,0,2,12,0,0,0,12,45,0,0,0,45,3,0,0,0,3,40,1,2,0,43,42,0,2,0,44,14,0,0,0,14,16,0,0,0,16,8,0,0,0,8,0,0,0,0,0,17,0,4,1,22,1,0,0,0,1,275,1,8,1,285,Georgia,147,New York,33,California,15,3
FAULKNER UNIVERSITY,60,0,2,0,62,13,0,5,0,18,0,0,1,0,1,2,0,1,0,3,0,0,0,0,0,1,0,1,15,0,101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,11,35,0,5,0,40,0,0,1,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,10,0,2,0,12,9,0,0,0,9,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,75,0,9,0,84,Alabama,53,Tennessee,6,Florida,4,0
FLORIDA A&M UNIVERSITY,85,0,7,0,92,24,0,5,1,30,17,0,3,0,20,2,0,1,0,3,0,0,1,0,1,7,6,4,50,8,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,9,41,0,7,1,49,4,0,0,0,4,4,0,0,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,5,0,41,26,0,2,0,28,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,128,0,17,1,146,Florida,123,Georgia,4,New York,3,0
FLORIDA COASTAL SCHOOL OF LAW,173,43,7,2,225,40,28,5,5,78,36,4,2,1,43,2,0,1,0,3,0,0,0,0,0,9,0,23,172,9,562,0,32,0,0,32,1,13,0,0,14,0,0,0,0,0,0,0,0,0,0,1,45,0,0,46,7,1,0,1,9,97,21,8,5,131,16,1,0,0,17,4,1,2,0,7,6,0,0,0,6,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,51,9,2,0,62,39,2,1,1,43,18,28,1,0,47,1,1,0,0,2,6,1,1,0,8,0,0,0,0,0,3,10,0,0,13,0,0,0,0,0,251,75,15,8,349,Florida,239,Georgia,18,New York,12,1
FLORIDA INTERNATIONAL UNIVERSITY,101,4,1,1,107,27,4,2,0,33,6,0,2,0,8,0,0,0,1,1,0,0,0,0,0,2,0,6,8,1,166,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,9,0,0,0,9,49,0,2,0,51,12,0,0,0,12,3,0,0,0,3,5,0,0,0,5,7,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,18,6,2,1,27,20,0,1,0,21,5,2,0,0,7,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,134,8,5,2,149,Florida,125,New York,3,Colorado,1,1
FLORIDA STATE UNIVERSITY,166,3,3,0,172,26,3,6,1,36,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,10,0,4,4,8,237,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,3,37,1,5,0,43,9,0,0,0,9,9,1,0,0,10,5,0,0,0,5,10,0,0,0,10,3,0,0,0,3,5,0,0,0,5,2,2,0,1,5,28,2,2,0,32,60,0,1,0,61,7,0,0,0,7,6,0,0,0,6,7,0,0,0,7,0,0,0,0,0,3,0,2,0,5,0,0,0,0,0,194,6,10,1,211,Florida,176,Georgia,5,District of Columbia,3,2
"FLORIDA, UNIVERSITY OF",235,7,0,4,246,23,2,0,11,36,3,0,0,1,4,0,0,0,2,2,0,0,0,0,0,24,1,3,35,3,354,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,0,0,0,3,60,2,0,3,65,20,0,0,0,20,12,1,0,0,13,19,0,0,0,19,15,1,0,0,16,10,1,0,0,11,18,0,0,0,18,3,0,0,0,3,21,3,0,5,29,59,0,0,0,59,5,0,0,0,5,10,0,0,0,10,6,0,0,0,6,0,0,0,0,0,0,1,0,10,11,0,0,0,0,0,261,9,0,18,288,Florida,190,New York,4,District Of Columbia,3,0
FORDHAM UNIVERSITY,305,14,3,29,351,23,20,2,17,62,14,2,6,0,22,1,0,0,0,1,0,0,0,0,0,1,3,6,33,2,481,0,9,0,24,33,0,14,0,12,26,0,0,0,0,0,1,0,0,0,1,1,23,0,36,60,0,0,0,0,0,29,0,3,6,38,20,1,0,0,21,14,1,0,0,15,8,0,0,0,8,20,0,0,0,20,24,0,0,0,24,120,0,0,0,120,0,0,0,0,0,45,9,7,3,64,25,5,0,6,36,10,2,1,23,36,12,3,0,1,16,14,1,0,4,19,0,0,0,1,1,2,14,0,2,18,0,0,0,0,0,343,36,11,46,436,New York,372,New Jersey,23,Florida,7,4
GEORGE MASON UNIVERSITY,129,5,3,3,140,60,1,7,19,87,4,0,0,1,5,0,0,3,0,3,0,0,0,0,0,3,2,1,13,1,255,4,0,0,2,6,3,1,3,18,25,0,0,0,0,0,0,0,0,0,0,7,1,3,20,31,4,0,0,0,4,33,1,2,1,37,9,0,0,0,9,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,6,0,0,0,6,16,0,1,0,17,0,0,0,0,0,28,5,6,2,41,50,0,0,1,51,16,0,1,3,20,4,0,0,0,4,14,0,0,0,14,0,0,0,0,0,1,0,3,16,20,0,0,0,0,0,193,6,13,23,235,Virginia,116,District Of Columbia,61,New York,8,4
GEORGE WASHINGTON UNIVERSITY,469,5,4,1,479,69,1,2,1,73,7,0,5,0,12,0,0,0,1,1,0,0,0,0,0,2,1,4,30,1,603,88,0,0,0,88,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89,0,0,0,89,2,0,0,0,2,45,0,2,1,48,25,0,1,0,26,20,0,0,0,20,11,1,0,0,12,18,0,0,0,18,33,0,0,0,33,118,0,0,0,118,1,0,0,0,1,55,2,7,2,66,122,0,0,0,122,40,3,1,0,44,29,0,0,0,29,23,0,0,0,23,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,545,6,11,3,565,District Of Columbia,263,New York,65,Virginia,46,13
GEORGETOWN UNIVERSITY,540,4,4,1,549,39,0,0,0,39,9,0,0,1,10,0,0,1,1,2,0,0,0,0,0,6,5,3,30,1,645,73,1,2,0,76,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,80,1,2,0,83,0,0,0,0,0,27,0,1,0,28,13,0,0,0,13,8,0,0,0,8,5,0,0,0,5,22,0,0,0,22,35,0,0,0,35,210,0,0,0,210,7,1,0,0,8,29,1,1,3,34,89,0,0,0,89,77,2,2,0,81,33,0,0,0,33,24,0,0,0,24,0,0,0,0,0,9,0,1,0,10,0,0,0,0,0,588,4,5,3,600,District Of Columbia,238,New York,144,California,45,12
GEORGIA STATE UNIVERSITY,129,0,6,0,135,24,1,0,0,25,11,0,5,0,16,0,0,1,0,1,0,0,0,0,0,4,0,4,9,1,195,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,4,46,0,4,0,50,16,0,1,0,17,2,0,0,0,2,8,0,0,0,8,2,0,0,0,2,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,30,0,4,0,34,25,0,2,0,27,7,0,0,0,7,8,0,0,0,8,4,0,0,0,4,0,0,0,0,0,5,1,1,0,7,0,0,0,0,0,164,1,12,0,177,Georgia,157,Pennsylvania,4,District of Columbia,3,1
